,,Image name,version,,,,,,,,,,,
./contrib/application/application/overlays/debug/stateful-set.yaml,        image, gcr.io/$(project)/application-controller,latest,contrib,application,application,overlays,debug,stateful-set.yaml,,,,,
./contrib/application/application/base/stateful-set.yaml,        image, gcr.io/kubeflow-images-public/kubernetes-sigs/application,,contrib,application,application,base,stateful-set.yaml,,,,,,
./contrib/spark/spark-operator/base/deploy.yaml,        image, gcr.io/spark-operator/spark-operator,v1beta2-1.1.0-2.4.5,contrib,spark,spark-operator,base,deploy.yaml,,,,,,
./common/cert-manager/cert-manager/base/cert-manager.yaml,        image, quay.io/jetstack/cert-manager-cainjector,v1.3.1,common,cert-manager,cert-manager,base,cert-manager.yaml,,,,,,
./common/cert-manager/cert-manager/base/cert-manager.yaml,        image, quay.io/jetstack/cert-manager-controller,v1.3.1,common,cert-manager,cert-manager,base,cert-manager.yaml,,,,,,
./common/cert-manager/cert-manager/base/cert-manager.yaml,        image, quay.io/jetstack/cert-manager-webhook,v1.3.1,common,cert-manager,cert-manager,base,cert-manager.yaml,,,,,,
./common/knative/knative-serving/base/upstream/net-istio.yaml,          image, gcr.io/knative-releases/knative.dev/net-istio/cmd/controller@sha256,ff8680da52ef47b8573ebc3393cbfa2f0f14b05c1e02232807f22699adbef57a,common,knative,knative-serving,base,upstream,net-istio.yaml,,,,,
./common/knative/knative-serving/base/upstream/net-istio.yaml,          image, gcr.io/knative-releases/knative.dev/net-istio/cmd/webhook@sha256,1e371db6b1a9f9265fc7a55d15d98c935c0c28925ffde351fb3b93f331c5a08e,common,knative,knative-serving,base,upstream,net-istio.yaml,,,,,
./common/knative/knative-serving/base/upstream/serving-core.yaml,  image, gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256,0b8e031170354950f3395876961452af1c62f7ab5161c9e71867392c11881962,common,knative,knative-serving,base,upstream,serving-core.yaml,,,,,
./common/knative/knative-serving/base/upstream/serving-core.yaml,          image, gcr.io/knative-releases/knative.dev/serving/cmd/activator@sha256,fed92af8b9779c97482906db8857f27b5d4826708b75d0298aa30fad8900671f,common,knative,knative-serving,base,upstream,serving-core.yaml,,,,,
./common/knative/knative-serving/base/upstream/serving-core.yaml,          image, gcr.io/knative-releases/knative.dev/serving/cmd/autoscaler@sha256,bc5ae3090ab0322ed0e4f9efddb60fa85f6ff3a29156411d24d0e4764b18eba7,common,knative,knative-serving,base,upstream,serving-core.yaml,,,,,
./common/knative/knative-serving/base/upstream/serving-core.yaml,          image, gcr.io/knative-releases/knative.dev/serving/cmd/controller@sha256,bd7c6350e5d5c4edaa197a86fb96cff78bdd3e61f33fcb77aa60930de0ec0827,common,knative,knative-serving,base,upstream,serving-core.yaml,,,,,
./common/knative/knative-serving/base/upstream/serving-core.yaml,          image, gcr.io/knative-releases/knative.dev/serving/cmd/webhook@sha256,6f41d379f1aacdfbb8f6d4f539e1769040e4f01bff3ad9c249b427e54dc56ea8,common,knative,knative-serving,base,upstream,serving-core.yaml,,,,,
./common/knative/knative-eventing-post-install-jobs/base/eventing-post-install-jobs.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/cmd/v0.22/pingsource-cleanup@sha256,837b8d5cfe38afa297d25e7aed30ec8df80f721a084d4fdcc614d65afde4c528,common,knative,knative-eventing-post-install-jobs,base,eventing-post-install-jobs.yaml,,,,,,
./common/knative/knative-eventing-post-install-jobs/base/eventing-post-install-jobs.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/vendor/knative.dev/pkg/apiextensions/storageversion/cmd/migrate@sha256,ef150a99d5b18781746d3934f181a766b27a975cb7593d9283fbd040e9ebfe5b,common,knative,knative-eventing-post-install-jobs,base,eventing-post-install-jobs.yaml,,,,,,
./common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/cmd/broker/filter@sha256,0e25aa1613a3a1779b3f7b7f863e651e5f37520a7f6808ccad2164cc2b6a9b12,common,knative,knative-eventing,base,upstream,mt-channel-broker.yaml,,,,,
./common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/cmd/broker/ingress@sha256,cf579f88aa2a37c240e25bb886c1ef5404e326e12c7caf571e49308612243eee,common,knative,knative-eventing,base,upstream,mt-channel-broker.yaml,,,,,
./common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/cmd/mtchannel_broker@sha256,a2678934d280ea19b0804cc7757d559a0312e2acea221b17a99bd830cd9eeaac,common,knative,knative-eventing,base,upstream,mt-channel-broker.yaml,,,,,
./common/knative/knative-eventing/base/upstream/eventing-core.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/cmd/controller@sha256,6ddffbc286a84048cfd090193d00b4ecda25a3a7bf2de1a8e873f8b3755cc913,common,knative,knative-eventing,base,upstream,eventing-core.yaml,,,,,
./common/knative/knative-eventing/base/upstream/eventing-core.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/cmd/mtping@sha256,edf462d03591e53e536640591a53538e6bea837fea15ed081eccfb42bc35a5c0,common,knative,knative-eventing,base,upstream,eventing-core.yaml,,,,,
./common/knative/knative-eventing/base/upstream/eventing-core.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/cmd/webhook@sha256,9f70a2a8bb78781472fba0327c5d6ff91f13a29736d4502bf8ad3d60d3f16ccd,common,knative,knative-eventing,base,upstream,eventing-core.yaml,,,,,
./common/knative/knative-eventing/base/upstream/in-memory-channel.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/cmd/in_memory/channel_controller@sha256,904f42a768a9bc64999e7302d2bc7c1c48a08e74a82355cf57be513e6a124b82,common,knative,knative-eventing,base,upstream,in-memory-channel.yaml,,,,,
./common/knative/knative-eventing/base/upstream/in-memory-channel.yaml,          image, gcr.io/knative-releases/knative.dev/eventing/cmd/in_memory/channel_dispatcher@sha256,a6983f71c04619928199cc21e07ee6f1e1c87586621bc03b10c9ba1abd92bfa8,common,knative,knative-eventing,base,upstream,in-memory-channel.yaml,,,,,
./common/knative/knative-serving-post-install-jobs/base/serving-post-install-jobs.yaml,          image, gcr.io/knative-releases/knative.dev/serving/vendor/knative.dev/pkg/apiextensions/storageversion/cmd/migrate@sha256,dce9002c02d7abda2f7d4b656c28029ec172d085bb116f22936cb1e096c3d1c7,common,knative,knative-serving-post-install-jobs,base,serving-post-install-jobs.yaml,,,,,,
./common/oidc-authservice/overlays/ibm-storage-config/statefulset.yaml,        image, busybox,,common,oidc-authservice,overlays,ibm-storage-config,statefulset.yaml,,,,,,
./common/oidc-authservice/base/statefulset.yaml,        image, gcr.io/arrikto/kubeflow/oidc-authservice,6ac9400,common,oidc-authservice,base,statefulset.yaml,,,,,,,
./common/dex/base/deployment.yaml,      - image, quay.io/dexidp/dex,v2.22.0,common,dex,base,deployment.yaml,,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,            image, "{{ annotation .ObjectMeta `sidecar.istio.io/proxyImage` .Values.global.proxy_init.image }}",,common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,            image, "{{ .Values.global.hub }}/{{ .Values.global.proxy_init.image }},{{ .Values.global.tag }}",common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,            image, "{{ annotation .ObjectMeta `sidecar.istio.io/proxyImage` .Values.global.proxy_init.image }}",,common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,            image, "{{ .Values.global.hub }}/{{ .Values.global.proxy_init.image }},{{ .Values.global.tag }}",common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,            image, "{{ annotation .ObjectMeta `sidecar.istio.io/proxyImage` .Values.global.proxy.image }}",,common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,            image, "{{ .Values.global.hub }}/{{ .Values.global.proxy.image }},{{ .Values.global.tag }}",common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,            image, "{{ annotation .ObjectMeta `sidecar.istio.io/proxyImage` .Values.global.proxy.image }}",,common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,            image, "{{ .Values.global.hub }}/{{ .Values.global.proxy.image }},{{ .Values.global.tag }}",common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,        image, docker.io/istio/proxyv2,1.9.6,common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/istio-install/base/install.yaml,        image, docker.io/istio/pilot,1.9.6,common,istio-1-9,istio-install,base,install.yaml,,,,,,
./common/istio-1-9/cluster-local-gateway/base/cluster-local-gateway.yaml,        image, docker.io/istio/proxyv2,1.9.6,common,istio-1-9,cluster-local-gateway,base,cluster-local-gateway.yaml,,,,,,
./common/istio-1-9/profile.yaml,        image, proxyv2,,common,istio-1-9,profile.yaml,,,,,,,,
./common/istio-1-9/profile.yaml,        image, proxyv2,,common,istio-1-9,profile.yaml,,,,,,,,
./common/istio-1-9/profile.yaml,      image, pilot,,common,istio-1-9,profile.yaml,,,,,,,,
./apps/pipeline/upstream/env/azure/minio-azure-gateway/minio-azure-gateway-deployment.yaml,          image, gcr.io/ml-pipeline/minio,RELEASE.2019-08-14T20-37-41Z-license-compliance,apps,pipeline,upstream,env,azure,minio-azure-gateway,minio-azure-gateway-deployment.yaml,,,,
./apps/pipeline/upstream/env/gcp/cloudsql-proxy/cloudsql-proxy-deployment.yaml,        - image, gcr.io/cloudsql-docker/gce-proxy,1.14,apps,pipeline,upstream,env,gcp,cloudsql-proxy,cloudsql-proxy-deployment.yaml,,,,
./apps/pipeline/upstream/env/gcp/inverse-proxy/proxy-deployment.yaml,      - image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/ml-pipeline_inverse-proxy-agent,dummy,apps,pipeline,upstream,env,gcp,inverse-proxy,proxy-deployment.yaml,,,,
./apps/pipeline/upstream/env/gcp/minio-gcs-gateway/minio-gcs-gateway-deployment.yaml,          image, gcr.io/ml-pipeline/minio,RELEASE.2019-08-14T20-37-41Z-license-compliance,apps,pipeline,upstream,env,gcp,minio-gcs-gateway,minio-gcs-gateway-deployment.yaml,,,,
./apps/pipeline/upstream/third-party/grafana/grafana-deployment.yaml,        image, grafana/grafana,5.3.4,apps,pipeline,upstream,third-party,grafana,grafana-deployment.yaml,,,,,
./apps/pipeline/upstream/third-party/minio/base/minio-deployment.yaml,        image, gcr.io/ml-pipeline/minio,RELEASE.2019-08-14T20-37-41Z-license-compliance,apps,pipeline,upstream,third-party,minio,base,minio-deployment.yaml,,,,
./apps/pipeline/upstream/third-party/mysql/base/mysql-deployment.yaml,        image, gcr.io/ml-pipeline/mysql,5.7,apps,pipeline,upstream,third-party,mysql,base,mysql-deployment.yaml,,,,
./apps/pipeline/upstream/third-party/metacontroller/base/stateful-set.yaml,        image, metacontroller/metacontroller,v0.3.0,apps,pipeline,upstream,third-party,metacontroller,base,stateful-set.yaml,,,,
./apps/pipeline/upstream/third-party/prometheus/prometheus-deployment.yaml,        image, prom/prometheus,,apps,pipeline,upstream,third-party,prometheus,prometheus-deployment.yaml,,,,,
./apps/pipeline/upstream/third-party/application/application-controller-deployment.yaml,          image, gcr.io/ml-pipeline/application-crd-controller,1.0-beta-non-cluster-role,apps,pipeline,upstream,third-party,application,application-controller-deployment.yaml,,,,,
./apps/pipeline/upstream/third-party/argo/base/workflow-controller-deployment-patch.yaml,          image, gcr.io/ml-pipeline/workflow-controller,v3.1.6-patch-license-compliance,apps,pipeline,upstream,third-party,argo,base,workflow-controller-deployment-patch.yaml,,,,
./apps/pipeline/upstream/third-party/argo/upstream/manifests/quick-start/postgres/postgres-deployment.yaml,          image, postgres,12-alpine,apps,pipeline,upstream,third-party,argo,upstream,manifests,quick-start,postgres,postgres-deployment.yaml,
./apps/pipeline/upstream/third-party/argo/upstream/manifests/quick-start/sso/dex/dex-deploy.yaml,          image, quay.io/dexidp/dex,v2.23.0,apps,pipeline,upstream,third-party,argo,upstream,manifests,quick-start,sso,dex,dex-deploy.yaml
./apps/pipeline/upstream/third-party/argo/upstream/manifests/quick-start/mysql/mysql-deployment.yaml,          image, mysql,8,apps,pipeline,upstream,third-party,argo,upstream,manifests,quick-start,mysql,mysql-deployment.yaml,
