,,Image name,version,,,,,,,,,,,
./apps/kfp-tekton/upstream/third-party/argo/upstream/manifests/quick-start/sso/dex/dex-deploy.yaml,          image, quay.io/dexidp/dex,v2.23.0,apps,kfp-tekton,upstream,third-party,argo,upstream,manifests,quick-start,sso,dex,dex-deploy.yaml
./apps/kfp-tekton/upstream/third-party/argo/upstream/manifests/quick-start/mysql/mysql-deployment.yaml,          image, mysql,8,apps,kfp-tekton,upstream,third-party,argo,upstream,manifests,quick-start,mysql,mysql-deployment.yaml,
./apps/kfp-tekton/upstream/third-party/argo/upstream/manifests/quick-start/base/minio/minio-pod.yaml,      image, minio/minio,RELEASE.2019-12-17T23-16-33Z,apps,kfp-tekton,upstream,third-party,argo,upstream,manifests,quick-start,base,minio,minio-pod.yaml
./apps/kfp-tekton/upstream/third-party/argo/upstream/manifests/quick-start/base/minio/minio-deploy.yaml,          image, minio/minio,RELEASE.2019-12-17T23-16-33Z,apps,kfp-tekton,upstream,third-party,argo,upstream,manifests,quick-start,base,minio,minio-deploy.yaml
./apps/kfp-tekton/upstream/third-party/argo/upstream/manifests/quick-start/base/prometheus/prometheus-deployment.yaml,          image, prom/prometheus,,apps,kfp-tekton,upstream,third-party,argo,upstream,manifests,quick-start,base,prometheus,prometheus-deployment.yaml
./apps/kfp-tekton/upstream/third-party/argo/upstream/manifests/base/workflow-controller/workflow-controller-deployment.yaml,          image, docker.io/argoproj/workflow-controller,latest,apps,kfp-tekton,upstream,third-party,argo,upstream,manifests,base,workflow-controller,workflow-controller-deployment.yaml,
./apps/kfp-tekton/upstream/third-party/argo/upstream/manifests/base/argo-server/argo-server-deployment.yaml,          image, docker.io/argoproj/argocli,latest,apps,kfp-tekton,upstream,third-party,argo,upstream,manifests,base,argo-server,argo-server-deployment.yaml,
./apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-scheduledworkflow-deployment.yaml,      - image, gcr.io/ml-pipeline/scheduledworkflow,dummy,apps,kfp-tekton,upstream,base,pipeline,ml-pipeline-scheduledworkflow-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-apiserver-deployment.yaml,        image, gcr.io/ml-pipeline/api-server,dummy,apps,kfp-tekton,upstream,base,pipeline,ml-pipeline-apiserver-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/base/pipeline/kfp-pipeline-config.yaml,  artifact_image, "minio/mc,RELEASE.2020-11-25T23-04-07Z",apps,kfp-tekton,upstream,base,pipeline,kfp-pipeline-config.yaml,,,,,
./apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-persistenceagent-deployment.yaml,        image, gcr.io/ml-pipeline/persistenceagent,dummy,apps,kfp-tekton,upstream,base,pipeline,ml-pipeline-persistenceagent-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-visualization-deployment.yaml,      - image, gcr.io/ml-pipeline/visualization-server,dummy,apps,kfp-tekton,upstream,base,pipeline,ml-pipeline-visualization-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-viewer-crd-deployment.yaml,      - image, gcr.io/ml-pipeline/viewer-crd-controller,dummy,apps,kfp-tekton,upstream,base,pipeline,ml-pipeline-viewer-crd-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-ui-deployment.yaml,      - image, gcr.io/ml-pipeline/frontend,dummy,apps,kfp-tekton,upstream,base,pipeline,ml-pipeline-ui-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/base/pipeline/metadata-writer/metadata-writer-deployment.yaml,        image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/ml-pipeline_metadata-writer,dummy,apps,kfp-tekton,upstream,base,pipeline,metadata-writer,metadata-writer-deployment.yaml,,,,
./apps/kfp-tekton/upstream/base/cache/cache-deployment.yaml,        image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/cache-server,dummy,apps,kfp-tekton,upstream,base,cache,cache-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/base/installs/multi-user/pipelines-profile-controller/sync.py,        visualization_server_image, gcr.io/ml-pipeline/visualization-server,,apps,kfp-tekton,upstream,base,installs,multi-user,pipelines-profile-controller,sync.py,,,
./apps/kfp-tekton/upstream/base/installs/multi-user/pipelines-profile-controller/sync.py,        frontend_image, gcr.io/ml-pipeline/frontend,,apps,kfp-tekton,upstream,base,installs,multi-user,pipelines-profile-controller,sync.py,,,
./apps/kfp-tekton/upstream/base/installs/multi-user/pipelines-profile-controller/deployment.yaml,        image, python,3.7,apps,kfp-tekton,upstream,base,installs,multi-user,pipelines-profile-controller,deployment.yaml,,,
./apps/kfp-tekton/upstream/base/cache-deployer/cache-deployer-deployment.yaml,        image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/cache-deployer,dummy,apps,kfp-tekton,upstream,base,cache-deployer,cache-deployer-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/base/metadata/overlays/db/metadata-db-deployment.yaml,        image, mysql,8.0.3,apps,kfp-tekton,upstream,base,metadata,overlays,db,metadata-db-deployment.yaml,,,
./apps/kfp-tekton/upstream/base/metadata/base/metadata-envoy-deployment.yaml,        image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/ml-pipeline_metadata-envoy,dummy,apps,kfp-tekton,upstream,base,metadata,base,metadata-envoy-deployment.yaml,,,,
./apps/kfp-tekton/upstream/base/metadata/base/metadata-grpc-deployment.yaml,        image, gcr.io/tfx-oss-public/ml_metadata_store_server,1.0.0,apps,kfp-tekton,upstream,base,metadata,base,metadata-grpc-deployment.yaml,,,,
./apps/volumes-web-app/upstream/base/deployment.yaml,        image, public.ecr.aws/j1r0q0g6/notebooks/volumes-web-app,,apps,volumes-web-app,upstream,base,deployment.yaml,,,,,,
./apps/admission-webhook/upstream/base/deployment.yaml,      - image, public.ecr.aws/j1r0q0g6/notebooks/admission-webhook,,apps,admission-webhook,upstream,base,deployment.yaml,,,,,,
./apps/training-operator/upstream/base/deployment.yaml,          image, kubeflow/training-operator,,apps,training-operator,upstream,base,deployment.yaml,,,,,,
./apps/kfserving/upstream/web-app/deployment.yaml,      - image, kfserving/models-web-app,v0.6.1,apps,kfserving,upstream,web-app,deployment.yaml,,,,,,
./apps/kfserving/upstream/overlays/test/manager_image_patch.yaml,          image, 809251082950.dkr.ecr.us-west-2.amazonaws.com/kfserving/kfserving-controller,latest,apps,kfserving,upstream,overlays,test,manager_image_patch.yaml,,,,,
./apps/kfserving/upstream/overlays/development/configmap/ko_resolve_logger,image, ko,//github.com/kubeflow/kfserving/cmd/logger,apps,kfserving,upstream,overlays,development,configmap,ko_resolve_logger,,,,
./apps/kfserving/upstream/overlays/development/configmap/ko_resolve_batcher,image, ko,//github.com/kubeflow/kfserving/cmd/batcher,apps,kfserving,upstream,overlays,development,configmap,ko_resolve_batcher,,,,
./apps/kfserving/upstream/overlays/development/configmap/ko_resolve_agent,image, ko,//github.com/kubeflow/kfserving/cmd/agent,apps,kfserving,upstream,overlays,development,configmap,ko_resolve_agent,,,,
./apps/kfserving/upstream/default/manager_auth_proxy_patch.yaml,        image, gcr.io/kubebuilder/kube-rbac-proxy,v0.4.0,apps,kfserving,upstream,default,manager_auth_proxy_patch.yaml,,,,,,
./apps/kfserving/upstream/default/manager_image_patch.yaml,      - image, kfserving/kfserving-controller,v0.6.1,apps,kfserving,upstream,default,manager_image_patch.yaml,,,,,,
./apps/kfserving/upstream/manager/manager.yaml,        image, ko,//github.com/kubeflow/kfserving/cmd/manager,apps,kfserving,upstream,manager,manager.yaml,,,,,,
./apps/tensorboard/tensorboards-web-app/upstream/base/deployment.yaml,        image, public.ecr.aws/j1r0q0g6/notebooks/tensorboards-web-app,,apps,tensorboard,tensorboards-web-app,upstream,base,deployment.yaml,,,,,
./apps/tensorboard/tensorboard-controller/upstream/default/manager_auth_proxy_patch.yaml,        image, gcr.io/kubebuilder/kube-rbac-proxy,v0.4.0,apps,tensorboard,tensorboard-controller,upstream,default,manager_auth_proxy_patch.yaml,,,,,
./apps/tensorboard/tensorboard-controller/upstream/manager/manager.yaml,        image, public.ecr.aws/j1r0q0g6/notebooks/tensorboard-controller,,apps,tensorboard,tensorboard-controller,upstream,manager,manager.yaml,,,,,
./apps/centraldashboard/upstream/base/deployment.yaml,        image, public.ecr.aws/j1r0q0g6/notebooks/central-dashboard,,apps,centraldashboard,upstream,base,deployment.yaml,,,,,,
./apps/profiles/upstream/overlays/kubeflow/patches/kfam.yaml,        image, public.ecr.aws/j1r0q0g6/notebooks/access-management,,apps,profiles,upstream,overlays,kubeflow,patches,kfam.yaml,,,,
./apps/profiles/upstream/default/manager_auth_proxy_patch.yaml,        image, gcr.io/kubebuilder/kube-rbac-proxy,v0.4.0,apps,profiles,upstream,default,manager_auth_proxy_patch.yaml,,,,,,
./apps/profiles/upstream/manager/manager.yaml,        image, public.ecr.aws/j1r0q0g6/notebooks/profile-controller,,apps,profiles,upstream,manager,manager.yaml,,,,,,
./apps/katib/upstream/components/cert-generator/cert-generator.yaml,          image, docker.io/kubeflowkatib/cert-generator,,apps,katib,upstream,components,cert-generator,cert-generator.yaml,,,,,
./apps/katib/upstream/components/ui/ui.yaml,          image, docker.io/kubeflowkatib/katib-ui,,apps,katib,upstream,components,ui,ui.yaml,,,,,
./apps/katib/upstream/components/controller/trial-templates.yaml,              image, docker.io/kubeflowkatib/mxnet-mnist,v1beta1-45c5727,apps,katib,upstream,components,controller,trial-templates.yaml,,,,,
./apps/katib/upstream/components/controller/trial-templates.yaml,              image, docker.io/kubeflowkatib/enas-cnn-cifar10-cpu,v1beta1-45c5727,apps,katib,upstream,components,controller,trial-templates.yaml,,,,,
./apps/katib/upstream/components/controller/trial-templates.yaml,                  image, docker.io/kubeflowkatib/pytorch-mnist,v1beta1-45c5727,apps,katib,upstream,components,controller,trial-templates.yaml,,,,,
./apps/katib/upstream/components/controller/trial-templates.yaml,                  image, docker.io/kubeflowkatib/pytorch-mnist,v1beta1-45c5727,apps,katib,upstream,components,controller,trial-templates.yaml,,,,,
./apps/katib/upstream/components/controller/controller.yaml,          image, docker.io/kubeflowkatib/katib-controller,,apps,katib,upstream,components,controller,controller.yaml,,,,,
./apps/katib/upstream/components/mysql/mysql.yaml,          image, mysql,8.0.26,apps,katib,upstream,components,mysql,mysql.yaml,,,,,
./apps/katib/upstream/components/db-manager/db-manager.yaml,          image, docker.io/kubeflowkatib/katib-db-manager,,apps,katib,upstream,components,db-manager,db-manager.yaml,,,,,
./apps/kubebench/upstream/base/deployment.yaml,      - image, gcr.io/kubeflow-images-public/kubebench/kubebench-operator-v1alpha2,,apps,kubebench,upstream,base,deployment.yaml,,,,,,
./apps/kubebench/upstream/base/config-map.yaml,        image, gcr.io/kubeflow-images-public/kubebench/workflow-agent,bc682c1,apps,kubebench,upstream,base,config-map.yaml,,,,,,
./apps/jupyter/jupyter-web-app/upstream/base/deployment.yaml,        image, public.ecr.aws/j1r0q0g6/notebooks/jupyter-web-app,,apps,jupyter,jupyter-web-app,upstream,base,deployment.yaml,,,,,
./apps/jupyter/notebook-controller/upstream/default/manager_auth_proxy_patch.yaml,        image, gcr.io/kubebuilder/kube-rbac-proxy,v0.4.0,apps,jupyter,notebook-controller,upstream,default,manager_auth_proxy_patch.yaml,,,,,
./apps/jupyter/notebook-controller/upstream/default/manager_image_patch.yaml,      - image, IMAGE_URL,,apps,jupyter,notebook-controller,upstream,default,manager_image_patch.yaml,,,,,
./apps/jupyter/notebook-controller/upstream/manager/manager.yaml,        image, public.ecr.aws/j1r0q0g6/notebooks/notebook-controller,,apps,jupyter,notebook-controller,upstream,manager,manager.yaml,,,,,
