Dockerfile_ml-pipeline_minio_RELEASE.2019-08-14T20-37-41Z-li,RELEASE.2019-08-14T20-37-41Z-license-compliance,ml-pipeline_minio,/apps/kfp-tekton/upstream/env/gcp/minio-gcs-gateway/minio-gcs-gateway-deployment.yaml,gcr.io/ml-pipeline/minio:RELEASE.2019-08-14T20-37-41Z-license-compliance
Dockerfile_ml-pipeline_minio_RELEASE.2019-08-14T20-37-41Z-li,RELEASE.2019-08-14T20-37-41Z-license-compliance,ml-pipeline_minio,/apps/kfp-tekton/upstream/third-party/minio/base/minio-deployment.yaml,gcr.io/ml-pipeline/minio:RELEASE.2019-08-14T20-37-41Z-license-compliance
Dockerfile_ml-pipeline_mysql_5.7,5.7,ml-pipeline_mysql,/apps/kfp-tekton/upstream/third-party/mysql/base/mysql-deployment.yaml,gcr.io/ml-pipeline/mysql:5.7
Dockerfile_tekton-releases_github.com_tektoncd_pipeline_cmd_,v0.27.0@sha256,tekton-releases_github.com_tektoncd_pipeline_cmd_controller,/apps/kfp-tekton/upstream/third-party/tekton/upstream/manifests/base/tektoncd-install/tekton-release.yaml,gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/controller:v0.27.0@sha256:015e8f9cf38416652545ce5e16776379a979af64373250ec489861886a468fcf
Dockerfile_tekton-releases_github.com_tektoncd_dashboard_cmd,81c6e5343eba03333b3bc7bbee2977090daf559d550ae22e570b9d1e1e52c471,tekton-releases_github.com_tektoncd_dashboard_cmd_dashboard@,/apps/kfp-tekton/upstream/third-party/tekton/upstream/manifests/base/tektoncd-dashboard/tekton-dashboard-release.yaml,gcr.io/tekton-releases/github.com/tektoncd/dashboard/cmd/dashboard@sha256:81c6e5343eba03333b3bc7bbee2977090daf559d550ae22e570b9d1e1e52c471
Dockerfile_ml-pipeline_application-crd-controller_1.0-beta-n,1.0-beta-non-cluster-role,ml-pipeline_application-crd-controller,/apps/kfp-tekton/upstream/third-party/application/application-controller-deployment.yaml,gcr.io/ml-pipeline/application-crd-controller:1.0-beta-non-cluster-role
Dockerfile_ml-pipeline_workflow-controller_v3.1.6-patch-lice,v3.1.6-patch-license-compliance,ml-pipeline_workflow-controller,/apps/kfp-tekton/upstream/third-party/argo/base/workflow-controller-deployment-patch.yaml,gcr.io/ml-pipeline/workflow-controller:v3.1.6-patch-license-compliance
Dockerfile_ml-pipeline_scheduledworkflow_dummy,dummy,ml-pipeline_scheduledworkflow,/apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-scheduledworkflow-deployment.yaml,gcr.io/ml-pipeline/scheduledworkflow:dummy
Dockerfile_ml-pipeline_api-server_dummy,dummy,ml-pipeline_api-server,/apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-apiserver-deployment.yaml,gcr.io/ml-pipeline/api-server:dummy
Dockerfile_ml-pipeline_persistenceagent_dummy,dummy,ml-pipeline_persistenceagent,/apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-persistenceagent-deployment.yaml,gcr.io/ml-pipeline/persistenceagent:dummy
Dockerfile_ml-pipeline_visualization-server_dummy,dummy,ml-pipeline_visualization-server,/apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-visualization-deployment.yaml,gcr.io/ml-pipeline/visualization-server:dummy
Dockerfile_ml-pipeline_viewer-crd-controller_dummy,dummy,ml-pipeline_viewer-crd-controller,/apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-viewer-crd-deployment.yaml,gcr.io/ml-pipeline/viewer-crd-controller:dummy
Dockerfile_ml-pipeline_frontend_dummy,dummy,ml-pipeline_frontend,/apps/kfp-tekton/upstream/base/pipeline/ml-pipeline-ui-deployment.yaml,gcr.io/ml-pipeline/frontend:dummy
Dockerfile_ml-pipeline_metadata-writer_dummy,dummy,ml-pipeline_metadata-writer,/apps/kfp-tekton/upstream/base/pipeline/metadata-writer/metadata-writer-deployment.yaml,gcr.io/ml-pipeline/metadata-writer:dummy
Dockerfile_ml-pipeline_cache-server_dummy,dummy,ml-pipeline_cache-server,/apps/kfp-tekton/upstream/base/cache/cache-deployment.yaml,gcr.io/ml-pipeline/cache-server:dummy
Dockerfile_ml-pipeline_visualization-server,latest,ml-pipeline_visualization-server,/apps/kfp-tekton/upstream/base/installs/multi-user/pipelines-profile-controller/sync.py,gcr.io/ml-pipeline/visualization-server
Dockerfile_ml-pipeline_cache-deployer_dummy,dummy,ml-pipeline_cache-deployer,/apps/kfp-tekton/upstream/base/cache-deployer/cache-deployer-deployment.yaml,gcr.io/ml-pipeline/cache-deployer:dummy
Dockerfile_ml-pipeline_metadata-envoy_dummy,dummy,ml-pipeline_metadata-envoy,/apps/kfp-tekton/upstream/base/metadata/base/metadata-envoy-deployment.yaml,gcr.io/ml-pipeline/metadata-envoy:dummy
Dockerfile_tfx-oss-public_ml_metadata_store_server_1.0.0,1.0.0,tfx-oss-public_ml_metadata_store_server,/apps/kfp-tekton/upstream/base/metadata/base/metadata-grpc-deployment.yaml,gcr.io/tfx-oss-public/ml_metadata_store_server:1.0.0
Dockerfile_kubebuilder_kube-rbac-proxy_v0.4.0,v0.4.0,kubebuilder_kube-rbac-proxy,/apps/kfserving/upstream/default/manager_auth_proxy_patch.yaml,gcr.io/kubebuilder/kube-rbac-proxy:v0.4.0
